speaker,date,start_time,duration,text
Vice President ...:,9/29/20,0:04:16,0:00:36,The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States. They're not going to get that chance now because we're in the middle of an election already. The election has already started. Tens of thousands of people already voted and so the thing that should happen is we should wait. We should wait and see what the outcome of this election is because that's the only way the American people get to express their view is by who they elect as President and who they elect as Vice President.
Vice President ...:,9/29/20,0:04:52,0:00:56,"Now, what's at stake here is the President's made it clear, he wants to get rid of the Affordable Care Act. He's been running on that, he ran on that and he's been governing on that. He's in the Supreme Court right now trying to get rid of the Affordable Care Act, which will strip 20 million people from having health insurance now, if it goes into court. And the justice, I'm not opposed to the justice, she seems like a very fine person. But she's written, before she went in the bench, which is her right, that she thinks that the Affordable Care Act is not Constitutional. The other thing that's on the court, and if it's struck down, what happens? Women's rights are fundamentally changed. Once again, a woman could pay more money because she has a pre-existing condition of pregnancy. They're able to charge women more for the same exact procedure a man gets."
Vice President ...:,9/29/20,0:05:48,0:00:26,"And that ended when we, in fact, passed the Affordable Care Act, and there's a hundred million people who have pre-existing conditions and they'll be taken away as well. Those pre-existing conditions, insurance companies are going to love this. And so it's just not appropriate to do this before this election. If he wins the election and the Senate is Republican, then he goes forward. If not, we should wait until February."
President Donal...:,9/29/20,0:06:14,0:00:27,"There aren't a hundred million people with pre-existing conditions. As far as a say is concerned, the people already had their say. Okay, Justice Ginsburg said very powerfully, very strongly, at some point 10 years ago or so, she said a President and the Senate is elected for a period of time, but a President is elected for four years. We're not elected for three years. I'm not elected for three years. So we have the Senate, we have a President-"
Vice President ...:,9/29/20,0:06:41,0:00:01,He's elected to the next election.
President Donal...:,9/29/20,0:06:42,0:00:22,"During that period of time, during that period of time, we have an opening. I'm not elected for three years. I'm elected for four years. Joe, the hundred million people is totally wrong. I don't know where you got that number. The bigger problem that you have is that you're going to extinguish 180 million people with their private health care, that they're very happy this."
Vice President ...:,9/29/20,0:07:04,0:00:01,That's simply not true.
President Donal...:,9/29/20,0:07:05,0:00:04,"Well, you're certainly going to socialist. You're going to socialist-"
Chris Wallace:,9/29/20,0:07:09,0:00:02,"Gentlemen, we're now into open discussion."
Vice President ...:,9/29/20,0:07:11,0:00:01,Open discussion.
Chris Wallace:,9/29/20,0:07:12,0:00:01,"Open discussion, yes, I agree. Go ahead, Vice President."
Vice President ...:,9/29/20,0:07:13,0:00:25,"Number one, he knows what I proposed. What I proposed is that we expand Obamacare and we increase it. We do not wipe any. And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still. They can. They do. They will under my proposal."
President Donal...:,9/29/20,0:07:38,0:00:02,That's not what you've said and it's not what your party is saying.
Vice President ...:,9/29/20,0:07:40,0:00:02,That is simply a lie.
President Donal...:,9/29/20,0:07:42,0:00:03,Your party doesn't say it. Your party wants to go socialist medicine and socialist healthcare.
Vice President ...:,9/29/20,0:07:45,0:00:03,"The party is me. Right now, I am the Democratic Party."
President Donal...:,9/29/20,0:07:48,0:00:01,"And they're going to dominate you, Joe. You know that."
Vice President ...:,9/29/20,0:07:49,0:00:02,I am the Democratic Party right now.
President Donal...:,9/29/20,0:07:51,0:00:01,Not according to Harris.
Vice President ...:,9/29/20,0:07:52,0:00:27,"The platform of the Democratic Party is what I, in fact, approved of, what I approved of. Now, here's the deal. The deal is that it's going to wipe out pre-existing conditions. And, by the way, the 200,000 people that have died on his watch, how many of those have survived? Well, there's seven million people that contracted COVID. What does it mean for them going forward if you strike down the Affordable Care Act?"
President Donal...:,9/29/20,0:08:19,0:00:08,"Joe, you've had 308,000 military people dying because you couldn't provide them proper healthcare in the military. So don't tell me about this."
Vice President ...:,9/29/20,0:08:27,0:00:01,I'm happy to talk about this.
President Donal...:,9/29/20,0:08:28,0:00:10,"And if you were here, it wouldn't be 200, it would be two million people because you were very late on the draw. You didn't want me to ban China, which was heavily infected. You didn't want me to ban Europe."
Chris Wallace:,9/29/20,0:08:38,0:00:02,"All right, gentlemen, Mr. President."
President Donal...:,9/29/20,0:08:40,0:00:04,"You would have been much later, Joe, much later."
Chris Wallace:,9/29/20,0:08:44,0:00:00,Mr. President.
President Donal...:,9/29/20,0:08:44,0:00:01,We're talking about two million people.
Vice President ...:,9/29/20,0:08:45,0:00:01,You're not going to be able to shut him up.
Chris Wallace:,9/29/20,0:08:46,0:00:05,"Mr. President, as the moderator, we are going to talk about COVID in the next segment. But go ahead."
Vice President ...:,9/29/20,0:08:51,0:00:14,"Let me finish. The point is that the President also is opposed to Roe V. Wade. That's on the ballot as well and the court, in the court, and so that's also at stake right now. And so the election is all-"
President Donal...:,9/29/20,0:09:05,0:00:06,You don't know what's on the ballot. Why is it on the ballot? Why is it on the ballot? It's not on the ballot.
Vice President ...:,9/29/20,0:09:11,0:00:01,It's on the ballot in the court.
President Donal...:,9/29/20,0:09:12,0:00:01,I don't think so.
Vice President ...:,9/29/20,0:09:13,0:00:01,In the court.
President Donal...:,9/29/20,0:09:14,0:00:01,There's nothing happening there.
Vice President ...:,9/29/20,0:09:15,0:00:01,Donald would you just be quiet for a minute.
President Donal...:,9/29/20,0:09:16,0:00:04,You don't know her view on Roe V. Wade? You don't know here view.
Chris Wallace:,9/29/20,0:09:20,0:00:11,"Well, all right. All right. Let's talk. We've got a lot to unpack here, gentlemen. We've got a lot of time. On healthcare, and then we'll come back to Roe V. Wade."
Vice President ...:,9/29/20,0:09:31,0:00:00,All right.
Chris Wallace:,9/29/20,0:09:31,0:00:14,"Mr. President, the Supreme Court will hear a case a week after the election in which the Trump Administration, along with 18 state Attorney Generals are seeking to overturn Obamacare, to end Obamacare."
President Donal...:,9/29/20,0:09:45,0:00:00,That's right.
Chris Wallace:,9/29/20,0:09:45,0:00:02,You have spent the last week-
President Donal...:,9/29/20,0:09:47,0:00:01,Because they want to give good healthcare.
Chris Wallace:,9/29/20,0:09:48,0:00:03,"If I may ask my question, sir."
Vice President ...:,9/29/20,0:09:51,0:00:00,Good healthcare.
Chris Wallace:,9/29/20,0:09:51,0:00:14,"Over the last four years, you have promised to repeal and replace Obamacare, but you have never in these four years come up with a plan, a comprehensive plan, to replace Obamacare."
President Donal...:,9/29/20,0:10:05,0:00:01,"Yes, I have. Of course, I have. The individual mandate."
Chris Wallace:,9/29/20,0:10:06,0:00:02,[crosstalk 00:11:26] when I finish I'm going to give an opportunity-
President Donal...:,9/29/20,0:10:08,0:00:03,"Excuse me. I got rid of the individual mandate, which was a big chunk of Obamacare."
Chris Wallace:,9/29/20,0:10:11,0:00:01,That's not a comprehensive place.
President Donal...:,9/29/20,0:10:12,0:00:03,That is absolutely a big thing. That was the worst part of Obamacare.
Chris Wallace:,9/29/20,0:10:15,0:00:01,"I didn't ask, sir."
President Donal...:,9/29/20,0:10:16,0:00:02,"Chris, that was the worst part of Obamacare."
Chris Wallace:,9/29/20,0:10:18,0:00:00,You're debating him not me. Let me ask my question.
President Donal...:,9/29/20,0:10:18,0:00:06,"Well, I'll ask Joe. The individual mandate was the most unpopular aspect of Obamacare."
Chris Wallace:,9/29/20,0:10:24,0:00:00,Mr. President.
President Donal...:,9/29/20,0:10:24,0:00:02,I got rid of it. And we will protect people.
Chris Wallace:,9/29/20,0:10:26,0:00:06,"Mr. President, I'm the moderator of this debate and I would like you to let me ask my question and then you can answer."
President Donal...:,9/29/20,0:10:32,0:00:01,Go ahead.
Chris Wallace:,9/29/20,0:10:33,0:00:23,"You, in the course of these four years, have never come up with a comprehensive plan to replace Obamacare, and just this last Thursday you signed a largely symbolic Executive Order to protect people with pre-existing conditions five days before this debate. So my question, sir, is what is the Trump healthcare plan?"
President Donal...:,9/29/20,0:10:56,0:00:24,"Well, first of all, I guess I'm debating you, not him, but that's okay. I'm not surprised. Let me just tell you something. There's nothing symbolic. I'm cutting drug prices. I'm going with Favored Nations, which no President has the courage to do because you're going against big pharma. Drug prices will be coming down 80 or 90%. You could have done it during your 47 year period in government, but you didn't do it. Nobody's done it. So we're cutting healthcare."
Chris Wallace:,9/29/20,0:11:20,0:00:00,What about pre-existing conditions?
President Donal...:,9/29/20,0:11:20,0:00:01,All of the things that we've done.
Vice President ...:,9/29/20,0:11:21,0:00:01,He has not done healthcare.
President Donal...:,9/29/20,0:11:22,0:00:21,"I'll give you an example. Insulin, it was destroying families, destroying people, the cost. I'm getting it for so cheap it's like water, you want to know the truth. So cheap. Take a look at all of the drugs that what we're doing. Prescription drug prices, we're going to allow our Governors now to go to other countries to buy drugs because when they paid just a tiny fraction of what we do."
Chris Wallace:,9/29/20,0:11:43,0:00:01,"Okay, like I say, this is open discussion."
President Donal...:,9/29/20,0:11:44,0:00:02,This is big stuff.
Chris Wallace:,9/29/20,0:11:46,0:00:11,"Sir, you'll be happy. I'm about to pick up on one of your points to ask the Vice President, which is, he points out that you would like to add a public option to Obamacare."
Vice President ...:,9/29/20,0:11:57,0:00:00,Yes.
Chris Wallace:,9/29/20,0:11:57,0:00:06,And the argument that he makes and other Republicans make is that that is going to end private insurance.
Vice President ...:,9/29/20,0:12:03,0:00:02,It is not.
Chris Wallace:,9/29/20,0:12:05,0:00:01,If I start asking the question.
President Donal...:,9/29/20,0:12:06,0:00:03,"That's not what your party says, by the way."
Chris Wallace:,9/29/20,0:12:09,0:00:03,And it will end private insurance and create a government takeover of health.
Vice President ...:,9/29/20,0:12:12,0:00:25,"It does not. It's only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid. Anyone who qualifies for Medicaid would automatically be enrolled in the public option. The vast majority of the American people would still not be in that option. Number one. Number two."
President Donal...:,9/29/20,0:12:37,0:00:07,"Joe, you agreed with Bernie Sanders, who's far left, on the manifesto, we call it. And that gives you socialized medicine."
Vice President ...:,9/29/20,0:12:44,0:00:01,"Look, hey."
President Donal...:,9/29/20,0:12:45,0:00:01,Are you saying you didn't agree?
Vice President ...:,9/29/20,0:12:46,0:00:04,I'm not going to listen to him. The fact of the matter is I beat Bernie Sanders.
President Donal...:,9/29/20,0:12:50,0:00:00,Not by much.
Vice President ...:,9/29/20,0:12:50,0:00:02,I beat him by a whole hell of a lot.
President Donal...:,9/29/20,0:12:52,0:00:00,Not by much.
Vice President ...:,9/29/20,0:12:52,0:00:02,"I'm here standing facing you, old buddy."
President Donal...:,9/29/20,0:12:54,0:00:03,If Pocahontas would have left two days early you would have lost every primary.
Vice President ...:,9/29/20,0:12:57,0:00:01,All he knows how to do-
President Donal...:,9/29/20,0:12:58,0:00:03,"On Super Tuesday, you got very lucky."
Vice President ...:,9/29/20,0:13:01,0:00:02,Look he's the deal. I got very lucky. I'm going to get very lucky tonight as well.
President Donal...:,9/29/20,0:13:03,0:00:00,With what?
Vice President ...:,9/29/20,0:13:03,0:00:02,And tonight I'm going to make sure.
President Donal...:,9/29/20,0:13:05,0:00:00,With what?
Vice President ...:,9/29/20,0:13:05,0:00:09,"Because here's the deal, here's the deal. The fact is that everything he's saying so far is simply a lie. I'm not here to call out his lies. Everybody knows he's a liar."
President Donal...:,9/29/20,0:13:14,0:00:07,"But you agree. Joe, you're the liar. You graduated last in your class not first in your class."
Vice President ...:,9/29/20,0:13:21,0:00:02,"God, I want to make sure-"
Chris Wallace:,9/29/20,0:13:23,0:00:01,"Mr. President, can you let him finish, sir?"
Vice President ...:,9/29/20,0:13:24,0:00:02,"No, he doesn't know how to do that."
President Donal...:,9/29/20,0:13:26,0:00:01,"You'd be surprised. You'd be surprised. Go ahead, Joe."
Vice President ...:,9/29/20,0:13:27,0:00:04,"The wrong guy, the wrong night, at the wrong time."
President Donal...:,9/29/20,0:13:31,0:00:04,"Listen, you agreed with Bernie Sanders and the manifesto."
Vice President ...:,9/29/20,0:13:35,0:00:02,"There is no manifesto, number one."
Chris Wallace:,9/29/20,0:13:37,0:00:01,"Please let him speak, Mr. President."
Vice President ...:,9/29/20,0:13:38,0:00:00,Number two.
President Donal...:,9/29/20,0:13:38,0:00:01,He just lost the left.
Vice President ...:,9/29/20,0:13:39,0:00:02,Number two.
President Donal...:,9/29/20,0:13:41,0:00:12,"You just lost the left. You agreed with Bernie Sanders on a plan that you absolutely agreed to and under that plan [crosstalk 00:15:10], they call it socialized medicine."
Chris Wallace:,9/29/20,0:13:53,0:00:01,Mr. President.
Vice President ...:,9/29/20,0:13:54,0:00:06,"I'll tell you what, he is not for any help for people needing healthcare."
President Donal...:,9/29/20,0:14:00,0:00:01,"Who is, Bernie?"
Vice President ...:,9/29/20,0:14:01,0:00:20,"Because he, in fact, already has costs 10 million people their healthcare that they had from their employers because of his recession. Number one. Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away. He won't ever look you in the eye and say that's what he wants to do. Take it away."
President Donal...:,9/29/20,0:14:21,0:00:04,"No, I want to give them better healthcare at a much lower price, because Obamacare is no good."
Vice President ...:,9/29/20,0:14:25,0:00:01,He doesn't know how. He doesn't know how to do that.
President Donal...:,9/29/20,0:14:26,0:00:01,I've already fixed it.
Vice President ...:,9/29/20,0:14:27,0:00:02,He has never offered a plan.
President Donal...:,9/29/20,0:14:29,0:00:05,"We've already fixed it to an extent. Obamacare, as you might know but probably don't, Obamacare is no good."
Chris Wallace:,9/29/20,0:14:34,0:00:05,"Gentlemen, you realize if you're both speaking at the same time. Let the President. Go ahead, sir."
President Donal...:,9/29/20,0:14:39,0:00:43,"Obamacare is no good. We made it better and I had a choice to make very early on. We took away the individual mandate. We guaranteed pre-existing conditions, but took away the individual mandate. Listen, this is the way it is. And that destroyed ... They shouldn't even call it Obamacare, then I had a choice to make, do I let my people run it really well or badly? If I run it badly, they'll probably blame him, but they'll blame me. But more importantly, I want to help people. Okay. I said, ""You've got to run it so well."" And I just had a meeting with them. They said the problem is, no matter how well you run Obamacare, it's a disaster. It's too expensive. Premiums are too high, that it doesn't work. So we do want to get rid of it. Chris, we want to get rid of that and give something that's cheaper and better."
Chris Wallace:,9/29/20,0:15:22,0:00:03,"I understand that, sir. But I have to give you roughly equal time."
President Donal...:,9/29/20,0:15:25,0:00:00,Go ahead.
Chris Wallace:,9/29/20,0:15:25,0:00:02,"Please let the Vice President talk, sir."
President Donal...:,9/29/20,0:15:27,0:00:01,Good.
Vice President ...:,9/29/20,0:15:28,0:00:02,He has no plan for healthcare.
President Donal...:,9/29/20,0:15:30,0:00:02,"Of course, we do."
Chris Wallace:,9/29/20,0:15:32,0:00:00,Please.
Vice President ...:,9/29/20,0:15:32,0:00:21,"He sends out wishful thinking. He has Executive Orders that have no power. He hasn't lowered drug costs for anybody. He's been promising a healthcare plan since he got elected. He has none, like almost everything else he talks about. He does not have a plan. He doesn't have a plan. And the fact is this man doesn't know what he's talking about. [crosstalk 00:17:14]."
Chris Wallace:,9/29/20,0:15:53,0:00:02,"All right, I have one final question for you."
Vice President ...:,9/29/20,0:15:55,0:00:01,Sure.
Chris Wallace:,9/29/20,0:15:56,0:00:39,"Mr. Vice President, if Senate Republicans, we were talking originally about the Supreme Court here, if Senate Republicans go ahead and confirm Justice Barrett there has been talk about ending the filibuster or even packing the court, adding to the nine justices there. You call this a distraction by the President. But, in fact, it wasn't brought up by the President. It was brought up by some of your Democratic colleagues in the Congress. So my question to you is, you have refused in the past to talk about it, are you willing to tell the American tonight whether or not you will support either ending the filibuster or packing the court?"
Vice President ...:,9/29/20,0:16:35,0:00:10,"Whatever position I take on that, that'll become the issue. The issue is the American people should speak. You should go out and vote. You're voting now. Vote and let your Senators know strongly how you feel."
President Donal...:,9/29/20,0:16:45,0:00:02,Are you going to pack the court?
Vice President ...:,9/29/20,0:16:47,0:00:01,Vote now.
President Donal...:,9/29/20,0:16:48,0:00:01,Are you going to pack the court?
Vice President ...:,9/29/20,0:16:49,0:00:03,"Make sure you, in fact, let people know, your Senators."
President Donal...:,9/29/20,0:16:52,0:00:05,He doesn't want to answer the question.
Vice President ...:,9/29/20,0:16:57,0:00:01,I'm not going to answer the question.
President Donal...:,9/29/20,0:16:58,0:00:00,Why wouldn't you answer that question? You want to put a lot of new Supreme Court Justices. Radical left.
Vice President ...:,9/29/20,0:16:58,0:00:02,"Will you shut up, man?"
President Donal...:,9/29/20,0:17:00,0:00:03,"Listen, who is on your list, Joe? Who's on your list?"
Chris Wallace:,9/29/20,0:17:03,0:00:02,"Gentlemen, I think we've ended this-"
Vice President ...:,9/29/20,0:17:05,0:00:00,This is so un-Presidential.
President Donal...:,9/29/20,0:17:05,0:00:02,He's going to pack the court. He is not going to give a list.
Chris Wallace:,9/29/20,0:17:07,0:00:03,We have ended the segment. We're going to move on to the second segment.
Vice President ...:,9/29/20,0:17:10,0:00:05,"That was really a productive segment, wasn't it? Keep yapping, man."
President Donal...:,9/29/20,0:17:15,0:00:02,"The people understand, Joe."
Vice President ...:,9/29/20,0:17:17,0:00:00,They sure do.
President Donal...:,9/29/20,0:17:17,0:00:03,"47 years, you've done nothing. They're understand."
Chris Wallace:,9/29/20,0:17:20,0:00:53,"All right, the second subject is COVID-19, which is an awfully serious subject. So let's try to be serious about it. We have had more than seven million cases of coronavirus in the United States and more than 200,000 people have died. Even after we produce a vaccine, experts say that it could be months or even years before we come back to anything approaching normal. My question for both of you is, based on what you have said and done so far, and what you have said you would do starting in 2021, why should the American people trust you more than your opponent to deal with this public health crisis going forward? In this case, the question goes to you first, sir. Two minutes, uninterrupted."
Vice President ...:,9/29/20,0:18:13,0:00:57,"Good luck. 200,000 dead. As you said, over seven million infected in the United States. We, in fact, have 4% of the world's population, 20% of the deaths. 40,000 people a day are contracting COVID. In addition to that, about between 750 and 1000 people a day are dying. When he was presented with that number, he said, ""It is what it is."" Well, it is what it is because you are who you are. That's why it is. The President has no plan. He hasn't laid out anything. He knew all the way back in February how serious this crisis was. He knew it was a deadly disease. What did he do? He's on tape as acknowledging he knew it. He said he didn't tell us or give people a warning of it because he didn't want to panic the American people. You don't panic. He panicked. In addition to that, what did he do?"
Vice President ...:,9/29/20,0:19:10,0:00:13,He went in and we were insisting that the people we had in the ground in China should be able to go to Wuhan and determine for themselves how dangerous this was. He did not even ask Xi to do that.
President Donal...:,9/29/20,0:19:23,0:00:00,Wrong.
Vice President ...:,9/29/20,0:19:23,0:00:14,He told us what a great job Xi was doing. He said we owe him debt of gratitude for being so transparent with us. And what did he do then? He then did nothing. He waited and waited and waited. He still doesn't have a plan.
President Donal...:,9/29/20,0:19:37,0:00:00,Wrong.
Chris Wallace:,9/29/20,0:19:37,0:00:00,"Sir, it's his two minutes."
President Donal...:,9/29/20,0:19:37,0:00:00,It's so wrong.
Vice President ...:,9/29/20,0:19:37,0:00:33,"I laid out back in March, exactly what we should be doing. And I laid out again in July, what we should be doing. We should be providing all the protective gear possible. We should be providing the money the House has passed in order to be able to go out and get people the help they need to keep their businesses open. Open schools cost a lot of money. You should get out of your bunker and get out of the sand trap in your golf course and go in the Oval Office and bring together the Democrats and Republicans and fund what needs to be done now to save lives."
President Donal...:,9/29/20,0:20:10,0:00:01,"So, if we would have listened to you."
Chris Wallace:,9/29/20,0:20:11,0:00:00,"Wait, wait. You have two minutes, sir."
President Donal...:,9/29/20,0:20:11,0:00:35,"If we would've listened to you, the country would have been left wide open, millions of people would have died, not 200,000. And one person is too much. It's China's fault. It should have never happened. They stopped it from going in, but it was China's fault. And, by the way, when you talk about numbers, you don't know how many people died in China. You don't know how many people died in Russia. You don't know how many people died in India. They don't exactly give you a straight count, just so you understand. But if you look at what we've done, I closed it and you said, ""He's xenophobic. He's a racist and he's xenophobic,"" because you didn't think I should have closed our country. Wait a minute."
Chris Wallace:,9/29/20,0:20:46,0:00:01,"Sir, it's his two minutes."
President Donal...:,9/29/20,0:20:47,0:00:47,"You didn't think we should have closed our country because you thought it was terrible. You wouldn't have closed it for another two months. By my doing it early, in fact, Dr. Fauci said, ""President Trump saved thousands of lives."" Many of your Democrat Governors said, ""President Trump did a phenomenal job."" We worked with the Governor. Oh really, go take a look. The Governors said I did a phenomenal job. Most of them said that. In fact, people that would not be necessarily on my side said that, ""President Trump did a phenomenal job."" We did. We got the gowns. We got the masks. We made the ventilators. You wouldn't have made ventilators. And now we're weeks away from a vaccine. We're doing therapeutics already. Fewer people are dying when they get sick. Far fewer people are dying. We've done a great job."
President Donal...:,9/29/20,0:21:34,0:00:21,"The only thing I haven't done a good job, and that's because of the fake news, no matter what you say to them, they give you a bad press on it. It's just fake news. They give you good press, they give me bad press because that's the way it is, unfortunately. But let me just say something. I don't care. I've gotten used to it. But I'll tell you, Joe, you could never have done the job that we did. You don't have it in your blood. You could've never done that, Joe."
Vice President ...:,9/29/20,0:21:55,0:00:03,I know how to do the job. I know how to get the job done.
President Donal...:,9/29/20,0:21:58,0:00:07,"Well, you didn't do very well in Swine Flu. H1-N1, you were a disaster. Your own Chief of Staff said you were a disaster."
Vice President ...:,9/29/20,0:22:05,0:00:02,"14,000 people died, not 200,000."
President Donal...:,9/29/20,0:22:07,0:00:05,"A far less lethal disease, by the way."
Chris Wallace:,9/29/20,0:22:12,0:00:01,"Sir, you made a point. Let him answer it."
Vice President ...:,9/29/20,0:22:13,0:00:24,"And there was no one ... We didn't shut down the economy. This is his economy he shut down. The reason it's shut down is because, look, you folks at home. How many of you got up this morning and had an empty chair at the kitchen table because someone died of COVID? How many of you are in a situation where you lost your mom or dad and you couldn't even speak to them, you had a nurse holding a phone up so you could in fact say goodbye?"
President Donal...:,9/29/20,0:22:37,0:00:06,"We would have lost far more people, far more people. You would have been months late. You're months behind me, Joe."
Vice President ...:,9/29/20,0:22:43,0:00:22,"His own CDC Director says we could lose as many as another 200,000 people between now and the end of the year. And he said, if we just wear a mask, we can save half those numbers. Just a mask. And by the way, in terms of the whole notion of a vaccine, we're for a vaccine, but I don't trust him at all. Nor do you. I know you don't. What we trust is a scientist."
President Donal...:,9/29/20,0:23:05,0:00:05,"You don't trust Johnson & Johnson, Pfizer?"
Chris Wallace:,9/29/20,0:23:10,0:00:45,"Okay, gentlemen, gentlemen. Let me move on to questions about the future because you both have touched on two of the questions I'm going to ask. Focusing on the future first, President Trump, you have repeatedly either contradicted or been at odds with some of your governments own top scientists. The week before last, the Head of the Centers for Disease Control, Dr. Redfield said it would be summer before the vaccine would become generally available to the public. You said that he was confused and mistaken. Those were your two words. But Dr. Slaoui, the head of your Operation Warp Speed, has said exactly the same thing. Are they both wrong?"
President Donal...:,9/29/20,0:23:55,0:00:07,"Well, I've spoken to the companies and we can have it a lot sooner. It's a very political thing because people like this would rather make it political than save lives."
Vice President ...:,9/29/20,0:24:02,0:00:01,God.
President Donal...:,9/29/20,0:24:03,0:00:15,"It is a very political thing. I've spoken to Pfizer, I've spoken to all of the people that you have to speak to, Moderna, Johnson & Johnson, and others. They can go faster than that by a lot. It's become very political because the left... Or I don't know if I call them left, I don't know what I call them."
Chris Wallace:,9/29/20,0:24:18,0:00:04,"So you're suggesting that the head of your Operation Warp Speed, Dr. Slaoui-"
President Donal...:,9/29/20,0:24:22,0:00:07,"I disagree with him. No, I disagree with both of them. And he didn't say that. He said it could be there, but it could also be much sooner. I had him in my office two days ago."
Chris Wallace:,9/29/20,0:24:29,0:00:04,"He talked about the summer, sir, before it's generally available, just like Dr. Redfield."
President Donal...:,9/29/20,0:24:33,0:00:06,Because he said it's a possibility that we'll have the answer before November 1st. It could also be after that.
Chris Wallace:,9/29/20,0:24:39,0:00:01,"I'm talking about when it's generally available, not-"
President Donal...:,9/29/20,0:24:40,0:00:11,"Well, we're going to deliver it right away. We have the military all set up. Logistically, they're all set up. We have our military that delivers soldiers and they can do 200,000 a day. They're going to be delivering-"
Vice President ...:,9/29/20,0:24:51,0:00:02,This is the same man who told you-
President Donal...:,9/29/20,0:24:53,0:00:01,It's all set up.
Vice President ...:,9/29/20,0:24:54,0:00:10,"... by Easter, this would be gone away. By the warm weather, it'd be gone. Miraculous, like a miracle. And by the way, maybe you could inject some bleach in your arm, and that would take care of it. This is the same man."
President Donal...:,9/29/20,0:25:04,0:00:04,"That was said sarcastically, and you know that. That was said sarcastically."
Vice President ...:,9/29/20,0:25:08,0:00:21,"So here's the deal. This man is talking about a vaccine. Every serious company is talking about maybe having a vaccine done by the end of the year, but the distribution of that vaccine will not occur until sometime beginning of the middle of next year to get it out, if we get the vaccine. And pray God we will. Pray God we will."
Chris Wallace:,9/29/20,0:25:29,0:00:01,"Mr. Vice President, I want to pick up-"
President Donal...:,9/29/20,0:25:30,0:00:01,You'll have the vaccine sooner than that.
Chris Wallace:,9/29/20,0:25:31,0:00:27,"I want to pick up on this question though. You say the public can trust the scientists, but they can't trust President Trump. In fact, you said that again tonight. Your running mate, Senator Harris, goes further, saying that public health experts quote, ""Will be muzzled, will be suppressed."" Given the fact that polls already show that people are concerned about the vaccine and are reluctant to take it, are you and your running mate, Senator Harris, contributing to that fear?"
Vice President ...:,9/29/20,0:25:58,0:00:07,No more than the question you just asked him. You pointed out he puts pressure and disagrees with his own scientists.
